iter	Passed	Remaining
398	5058	7619
399	5061	7591
400	5064	7564
401	5088	7568
402	5092	7543
403	5097	7519
404	5111	7510
405	5114	7483
406	5125	7467
407	5128	7441
408	5160	7457
409	5173	7444
410	5177	7419
411	5191	7409
412	5196	7385
413	5199	7359
414	5204	7335
415	5209	7312
416	5218	7296
417	5224	7274
418	5227	7248
419	5242	7239
420	5256	7229
421	5268	7215
422	5271	7190
423	5275	7167
424	5281	7146
425	5311	7156
426	5313	7130
427	5315	7104
428	5319	7080
429	5326	7060
430	5329	7036
431	5333	7012
432	5358	7016
433	5363	6995
434	5366	6970
435	5379	6959
436	5383	6935
437	5388	6914
438	5396	6895
439	5399	6871
440	5410	6858
441	5420	6843
442	5426	6823
443	5429	6799
444	5436	6780
445	5440	6758
446	5443	6734
447	5446	6711
448	5456	6696
449	5459	6672
450	5469	6658
451	5472	6634
452	5474	6611
453	5483	6594
454	5486	6571
455	5489	6548
456	5496	6531
457	5500	6509
458	5520	6506
459	5528	6489
460	5533	6469
461	5536	6447
462	5547	6434
463	5553	6415
464	5564	6402
465	5567	6379
466	5576	6364
467	5580	6343
468	5590	6329
469	5594	6308
470	5605	6295
471	5618	6285
472	5624	6266
473	5635	6254
474	5640	6233
475	5654	6224
476	5665	6211
477	5668	6190
478	5670	6167
479	5678	6151
480	5685	6134
481	5693	6118
482	5696	6097
483	5716	6094
484	5730	6085
485	5733	6063
486	5739	6046
487	5749	6032
488	5753	6012
489	5755	5990
490	5758	5969
491	5805	5994
492	5808	5973
493	5811	5952
494	5813	5931
495	5816	5910
496	5819	5889
497	5822	5869
498	5825	5848
499	5827	5827
500	5830	5806
501	5833	5787
502	5836	5767
503	5876	5783
504	5879	5763
505	5884	5745
506	5888	5726
507	5894	5709
508	5905	5696
509	5918	5686
510	5921	5667
511	5983	5703
512	5986	5683
513	5990	5664
514	5994	5645
515	6001	5629
516	6006	5611
517	6009	5591
518	6011	5571
519	6013	5551
520	6016	5531
521	6062	5551
522	6065	5531
523	6068	5512
524	6073	5495
525	6077	5477
526	6080	5457
527	6082	5437
528	6088	5420
529	6103	5412
530	6115	5401
531	6124	5387
532	6130	5371
533	6139	5358
534	6142	5339
535	6145	5320
536	6153	5305
537	6168	5297
538	6172	5279
539	6175	5260
540	6222	5279
541	6225	5260
542	6228	5241
543	6263	5250
544	6266	5231
545	6268	5212
546	6304	5220
